tmdb_id,score_imdb
27205,7.9001669180507585
157336,7.895277553114835
155,7.888624522872593
550,7.875773941362954
680,7.869634580616698
13,7.86745899819526
278,7.864181777688688
68718,7.863102447712479
603,7.858993732458597
475557,7.8568035789118635
11324,7.850081099327378
106646,7.849694203917647
16869,7.839594968569949
673,7.834449328011081
807,7.829677152951659
11,7.827149750614169
238,7.825181519178503
105,7.821377417293233
354912,7.81733135391236
98,7.807660266605733
8587,7.807235876335045
37165,7.8060949588351525
694,7.798922342505348
77338,7.797468394659027
497,7.796772910885494
205596,7.795492972134522
1891,7.793629634760269
274,7.785234703309194
1124,7.780690628536106
857,7.7797692158956595
244786,7.769460599776174
1422,7.767473694932673
120467,7.767163836920971
77,7.766690081136745
38,7.766482206201081
500,7.759550124904167
348,7.7592029732273
324786,7.749674915134233
185,7.736024093959538
769,7.7333382925899405
240,7.724839513013692
398818,7.722718575231435
14,7.721666912390016
489,7.720862297910809
103,7.720309086518605
111,7.71205641576062
146233,7.71087659806458
73,7.7101915256328555
490132,7.706458792483007
207,7.700394782888673
600,7.683247143131698
629,7.681487405037984
508442,7.679596132207264
539,7.672708492198518
641,7.668569678081256
381284,7.661037866608553
515001,7.654982125626477
264644,7.6507125089041015
337404,7.64786323474449
423,7.643414470946316
389,7.619686453776698
50014,7.610108905115034
28,7.609444907507992
406997,7.602936360354679
359724,7.587676694689019
598,7.5720474581336115
1091,7.548897824691122
334543,7.540997611463295
7345,7.5329941333890265
567,7.5277651101721474
872585,7.526057208219786
524,7.484653778937863
426,7.481375958450542
527641,7.47864946093174
15,7.465666944231481
400928,7.460957089178431
289,7.458091110033611
311,7.454303228143602
411088,7.388047849572646
11216,7.365288861103197
279,7.349997326135976
103663,7.340297537942751
508965,7.326493191269748
406,7.324011589174205
11778,7.29545601114393
3082,7.291510891299012
582,7.281663059130302
1955,7.258434702109455
239,7.256330544393512
914,7.2412603196934615
600354,7.203199762440301
490,7.17950243873828
975,7.163604947808886
3175,7.152203074407945
265177,7.143295565266772
19,7.128647567332601
46738,7.109401676222715
521,7.10810279680058
9277,7.107885948465253
599,7.105711651483691
339877,7.088607775965619
531428,7.080845417344085
10494,7.080154150423059
762975,7.067768014745321
7347,7.065869375264151
5156,7.061808976230526
284,7.033131727546136
387,7.021790164232894
470044,7.016019014759341
901,7.012842320698839
147,7.0042699880699
797,7.003187966867044
10098,6.990295791424762
606856,6.977920586639996
678512,6.942879546539206
19995,6.938688795689348
24428,6.937233627804035
293660,6.9366847865913
118340,6.931676006477632
439,6.928994426747689
1726,6.927256159630679
597,6.923928470867904
49026,6.9161783385748645
284054,6.914780461479961
284052,6.914375132261535
70160,6.913890420661645
672,6.912981592285481
272,6.90933069522399
150540,6.909087050872757
674,6.908275366056074
14160,6.906219408623474
297762,6.90609374550333
286217,6.904359063510142
675,6.903064511487308
12,6.902175328084032
263115,6.902111887959571
346364,6.901822930206513
245891,6.901699975254863
259316,6.901070577566805
210577,6.89877404725497
862,6.897708122089224
281957,6.8970425996137035
9806,6.894223217402705
329865,6.89413761901368
383498,6.892866068248394
381288,6.892561043913578
419430,6.891653409863485
424694,6.890314975183767
198663,6.890136885170907
808,6.889989062400493
18785,6.889816098940849
2062,6.88950587904936
313369,6.888431595749237
109445,6.887851340574818
374720,6.887342686074037
269149,6.886034086771843
329,6.885522134416754
6479,6.8821816214973035
177572,6.8821533184816275
75656,6.881969016904517
339403,6.881612965673459
1892,6.88149141841029
640,6.880568162266439
333339,6.88048086892664
37724,6.880057145845818
49047,6.879983786301993
118,6.87775572551941
20352,6.87771763607139
10193,6.874983110731242
752,6.873410419072162
44214,6.873279619376015
152601,6.872040098209167
273248,6.870929086761664
10528,6.869876320029018
447332,6.869147433051319
863,6.867727327673581
137113,6.8672440907947765
1271,6.8670822262438245
607,6.867037193795744
78,6.867010159677234
62177,6.8645125254462185
335984,6.863636894095732
102651,6.86310415139093
264660,6.862682638631042
87827,6.862528716970547
425,6.862219836121162
10191,6.860088050341361
190859,6.859818181600056
162,6.85973802044586
260513,6.859406384325972
218,6.858299747691912
4922,6.858043471463328
165,6.857569493070885
64690,6.8561705567717945
85,6.854182574573648
277834,6.854019856125397
141,6.853943796504472
64682,6.853584159531233
19908,6.853211767357689
296096,6.853167831939359
399055,6.852969796646005
530915,6.852727026871629
809,6.852294686190259
127380,6.852161147143644
82693,6.851523524972578
546554,6.850925693689705
37799,6.850482696284485
350,6.8492420794435755
228150,6.848508832396942
332562,6.848204139091637
6977,6.8480748611054185
61791,6.845612502441982
745,6.845490937483274
138843,6.844499160475282
11036,6.843569428096108
76203,6.842779817806072
9502,6.842704200884777
38757,6.842678979077815
222935,6.842578010913564
8358,6.842451618308918
812,6.842083929344728
8681,6.840880222675769
115,6.840492188752852
119450,6.839605599643419
562,6.8391717814964
604,6.83708882573994
242582,6.835228390800032
13223,6.835006718745277
266856,6.834978967793926
18,6.834770537726304
36557,6.834505769253402
168259,6.834477849518143
1359,6.833959629889795
51876,6.833790861090766
12405,6.8335229410399245
62211,6.833339129101205
1417,6.832628361142748
8844,6.832413947052489
84892,6.832270698866363
196,6.830839216037723
438631,6.830003890326395
1949,6.829753158601213
578,6.828936876125672
453,6.827295802326843
420817,6.8259786188398
652,6.8259786188398
89,6.825560930397153
197,6.825467838302729
497698,6.8253901856235615
420818,6.82492281460007
13475,6.824201299591254
10020,6.823948941865924
1402,6.822322972296051
301528,6.820977548219832
330457,6.820863146433958
627,6.819445611523517
5915,6.819246030401398
10674,6.818460070870348
82702,6.818241469621858
454626,6.817650302577603
70,6.817514638336983
414906,6.817242703365706
577922,6.816850373906812
316029,6.816490686059813
679,6.815836218304795
17654,6.815246672256622
568124,6.814933028957615
9479,6.814828244412341
2501,6.813170989816013
9741,6.81243881724695
87,6.811899435011272
54138,6.811773132473629
176,6.811102705625489
13183,6.81059217239745
664413,6.809155310838123
3933,6.808801998054915
107,6.807941167273914
318846,6.807828313195337
156022,6.8069586725073865
620,6.804165160283192
453395,6.8040086801875335
281338,6.802131179392718
180,6.801931453117754
10625,6.800967127095809
152532,6.800420555943611
273481,6.79805854749795
391713,6.797537650230869
259693,6.796930032705949
744,6.796719662906619
122906,6.796698601951676
436969,6.796508856791204
537915,6.796466643090715
550988,6.796085930171213
747,6.7958525703326655
68734,6.795448233716
314365,6.795106495357375
63,6.794613241159471
45612,6.794419581564965
508943,6.794333393358933
187,6.79104833415372
38700,6.790512961037428
114,6.789772327623482
2108,6.789433942057901
335797,6.788594581559749
35,6.7883665774415
4951,6.788183819736354
