,tmdb_id,soup
23,105,adventure comedy sciencefiction flycar raceagainsttime clocktower carrace lightning guitar plutonium inventor journeyinthepast invention timetravel bully madscientist fishoutofwater terrorism teenagelove destiny hideidentity teenagelife changethepastorfuture 1950 michaelj.fox christopherlloyd leathompson crispinglover thomasf.wilson claudiawells robertzemeckis robertzemeckis robertzemeckis
24,354912,family animation music adventure skeleton mexico guitar afterlife musician holiday singer lifeafterdeath child dayofthedead anthonygonzalez gaelgarcíabernal benjaminbratt alannaubach renéevictor anaofeliamurguía leeunkrich leeunkrich leeunkrich
25,10681,animation family sciencefiction garbage dystopia spacetravel distantfuture loneliness robot aftercreditsstinger duringcreditsstinger benburtt elissaknight jeffgarlin fredwillard johnratzenberger kathynajimy andrewstanton andrewstanton andrewstanton
26,98,action drama adventure epic rome italy arena romanempire parentchildrelationship emperor slavery ancientrome revenge battlefield historicalfiction ancientworld combat russellcrowe joaquinphoenix connienielsen oliverreed richardharris derekjacobi ridleyscott ridleyscott ridleyscott
27,8587,family animation drama fathermurder lossofloveone africa lion manipulation redemption musical uncle murder king family hyena meerkat nature matthewbroderick moirakelly nathanlane erniesabella robertguillaume rowanatkinson rogerallers rogerallers rogerallers
28,37165,comedy drama dystopia suspicion videosurveillance deception simulatereality tvshowinfilm jimcarrey lauralinney noahemmerich nataschamcelhone hollandtaylor edharris peterweir peterweir peterweir
29,496243,comedy thriller drama darkcomedy birthdayparty conartist workclass psychologicalthriller classdifference family crimefamily unemployed wealthyfamily southkorea seoul southkorea songkang-ho leesun-kyun choyeo-jeong choiwoo-shik parkso-dam leejung-eun bongjoon-ho bongjoon-ho bongjoon-ho
30,694,horror thriller hotel childabuse baseonnovelorbook isolation telepathy delusion snowstorm colorado seclusion surrealism alcoholism premonition psychicpower caretaker loneliness vision domesticviolence postmodern psychologicalthriller writer twin labyrinth alcoholic blizzard mutilation uxoricide motherhood hypothermia pediatrician mothersonrelationship supernaturalpower supernaturalhorror ghostchild cultfilm jacknicholson shelleyduvall dannylloyd scatmancrothers barrynelson philipstone stanleykubrick stanleykubrick stanleykubrick
31,77338,drama comedy friendship malefriendship baseontruestory masseuse interracialfriendship unlikelyfriendship duringcreditsstinger quadriplegic françoiscluzet omarsy dominiquehenry anneleny clotildemollet albagaïabellugi érictoledano érictoledano érictoledano
32,497,fantasy drama crime mentallydisabled baseonnovelorbook southernusa psychopath deathrow supernatural greatdepression prisonguard jail torture magicrealism healing 1930s abuseofpower tomhanks michaelclarkeduncan davidmorse bonniehunt michaeljeter doughutchison frankdarabont frankdarabont frankdarabont
33,205596,history drama thriller war homophobia worldwarii mathematician genius biography malehomosexuality lgbt mathgenius gaytheme benedictcumberbatch keiraknightley matthewgoode rorykinnear allenleech matthewbeard mortentyldum mortentyldum mortentyldum
34,1891,adventure action sciencefiction rebellion android spacecraft asteroid rebel spacebattle snowstorm spacecolony swamp spaceopera markhamill harrisonford carriefisher billydeewilliams anthonydaniels davidprowse irvinkershner irvinkershner irvinkershner
35,274,crime drama thriller baseonnovelorbook kidnapping psychopath fbi murder serialkiller psychologicalthriller brutality cannibal virginia jodiefoster anthonyhopkins scottglenn tedlevine anthonyheald brookesmith jonathandemme jonathandemme jonathandemme
36,129,animation family fantasy witch parentchildrelationship magic spirit parallelworld amusementpark anime rumihiiragi miyuirino marinatsuki takashinaito yasukosawaguchi tsunehikokamijō hayaomiyazaki hayaomiyazaki hayaomiyazaki
37,1124,drama mystery sciencefiction dieanddeath suicide classsociety magic competition obsession hostility class diary twist illusion rivalry partner steampunk cruelty hang 19thcentury magician secret london christianbale hughjackman michaelcaine scarlettjohansson rebeccahall davidbowie christophernolan christophernolan christophernolan
38,424,drama history war factory hero baseonnovelorbook nazi concentrationcamp holocaust(shoah) worldwarii ghetto jewpersecution poland biography baseontruestory historicalfiction blackandwhite train poland liamneeson benkingsley ralphfiennes carolinegoodall jonathansagall embethdavidtz stevenspielberg stevenspielberg stevenspielberg
