tmdb_id,score_imdb,title,genres,poster_path,year,keywords,cast,director,watch_providers
27205,7.940766568473191,Inception,"Action, Science Fiction, Adventure",/oYuLEt3zVCKq57qu2F8dT7NIa6f.jpg,2010,"rescue, mission, dream, airplane, paris, france, virtual reality, kidnapping, philosophy, spy, allegory, manipulation, car crash, heist, memory, architecture, los angeles, california, dream world, subconscious","Leonardo DiCaprio, Joseph Gordon-Levitt, Ken Watanabe, Tom Hardy, Elliot Page, Dileep Rao, Cillian Murphy, Tom Berenger, Marion Cotillard, Pete Postlethwaite",Christopher Nolan,"381, 56, 685"
157336,7.937818524484626,Interstellar,"Adventure, Drama, Science Fiction",/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,2014,"rescue, future, spacecraft, race against time, artificial intelligence (a.i.), nasa, time warp, dystopia, expedition, space travel, wormhole, famine, black hole, quantum mechanics, family relationships, space, robot, astronaut, scientist, single father, farmer, space station, space adventure, time paradox, time-manipulation, father daughter relationship, 2060s, cornfield, time manipulation","Matthew McConaughey, Anne Hathaway, Jessica Chastain, Michael Caine, Bill Irwin, Ellen Burstyn, Mackenzie Foy, Casey Affleck, John Lithgow, Wes Bentley",Christopher Nolan,"8, 1796"
155,7.933772099682169,The Dark Knight,"Drama, Action, Crime, Thriller",/qJ2tW6WMUDux911r6m7haRef0WH.jpg,2008,"joker, sadism, chaos, secret identity, crime fighter, superhero, anti hero, scarecrow, based on comic, vigilante, organized crime, tragic hero, anti villain, criminal mastermind, district attorney, super power, super villain, neo-noir","Christian Bale, Heath Ledger, Michael Caine, Gary Oldman, Aaron Eckhart, Maggie Gyllenhaal, Morgan Freeman, Nestor Carbonell, Monique Gabriela Curnen, Ron Dean",Christopher Nolan,
299536,7.926984662782653,Avengers: Infinity War,"Adventure, Action, Science Fiction",/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,2018,"sacrifice, magic, superhero, based on comic, space, battlefield, genocide, magical object, super power, aftercreditsstinger, marvel cinematic universe (mcu), cosmic","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Benedict Cumberbatch, Tom Holland, Chadwick Boseman, Don Cheadle, Zoe Saldaña",Anthony Russo,337
550,7.925936123131331,Fight Club,Drama,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,1999,"dual identity, rage and hate, based on novel or book, nihilism, fight, support group, dystopia, insomnia, alter ego, breaking the fourth wall, split personality, quitting a job, dissociative identity disorder, self destructiveness","Edward Norton, Brad Pitt, Helena Bonham Carter, Meat Loaf, Jared Leto, Zach Grenier, Holt McCallany, Eion Bailey, Richmond Arquette, David Andrews",David Fincher,"337, 8, 11, 201, 1796"
680,7.922181372321347,Pulp Fiction,"Thriller, Crime",/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg,1994,"drug dealer, boxer, massage, stolen money, briefcase, crime boss, redemption, heirloom, dance competition, los angeles, california, theft, nonlinear timeline, multiple storylines, neo-noir","John Travolta, Samuel L. Jackson, Uma Thurman, Bruce Willis, Ving Rhames, Harvey Keitel, Eric Stoltz, Tim Roth, Amanda Plummer, Maria de Medeiros",Quentin Tarantino,"8, 381, 1796, 531, 582, 1853"
13,7.920857425914716,Forrest Gump,"Comedy, Drama, Romance",/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg,1994,"vietnam war, vietnam veteran, mentally disabled, friendship, usa president, washington dc, usa, post-traumatic stress disorder (ptsd), waitress, china, based on novel or book, hippie, single parent, parent child relationship, optimism, 1970s, drug addiction, autism, alabama, black panther party, bus stop, family relationships, single mother, military, anti war protest, 1960s, college american football, mother son relationship","Tom Hanks, Robin Wright, Gary Sinise, Sally Field, Mykelti Williamson, Michael Conner Humphreys, Hanna Hall, Haley Joel Osment, Siobhan Fallon Hogan, Rebecca Williams",Robert Zemeckis,"8, 381, 1796, 531, 582, 1853"
278,7.91884810511775,The Shawshank Redemption,"Drama, Crime",/q6y0Go1tsGEsmtFryDOJo3dEmqu.jpg,1994,"prison, friendship, police brutality, corruption, based on novel or book, hope, prison cell, delinquent, redemption, parole board, prison escape, wrongful imprisonment, interracial friendship, framed for murder, 1940s, voiceover","Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler, Clancy Brown, Gil Bellows, James Whitmore, Mark Rolston, Jeffrey DeMunn, Larry Brandenburg",Frank Darabont,
68718,7.918182645275439,Django Unchained,"Drama, Western",/7oWY8VDWW7thTzWh3OKYRkWUlD5.jpg,2012,"rescue, friendship, bounty hunter, texas, slavery, plantation, rivalry, revenge, shootout, racism, kindness, dentist, django, slave trade, aftercreditsstinger, black slave, agreement, 19th century, chattanooga, german, cotton plantation, plantation owner, old west, western, 1850s, mississippi","Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington, Samuel L. Jackson, Walton Goggins, Dennis Christopher, James Remar, David Steen, Dana Gourrier",Quentin Tarantino,"8, 119, 381, 1796"
603,7.915651911738687,The Matrix,"Action, Science Fiction",/f89U3ADr1oiB1s9GkdPOEpXUk5H.jpg,1999,"man vs machine, martial arts, dream, artificial intelligence (a.i.), saving the world, hacker, self sacrifice, virtual reality, fight, prophecy, truth, philosophy, dystopia, insurgence, simulated reality , cyberpunk, dream world, woman director, messiah, action hero, gnosticism","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Gloria Foster, Joe Pantoliano, Marcus Chong, Julian Arahanga, Matt Doran, Belinda McClory",Lilly Wachowski,"8, 1796"
299534,7.9156185778435475,Avengers: Endgame,"Adventure, Science Fiction, Action",/or06FN3Dka5tukK1e9sl16pB3iy.jpg,2019,"superhero, time travel, space travel, time machine, based on comic, sequel, alien invasion, superhero team, marvel cinematic universe (mcu), alternate timeline, father daughter relationship, sister sister relationship","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Don Cheadle, Paul Rudd, Benedict Cumberbatch, Chadwick Boseman",Anthony Russo,337
475557,7.914318318368906,Joker,"Crime, Thriller, Drama",/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg,2019,"dream, street gang, society, psychopath, clown, villain, based on comic, murder, psychological thriller, criminal mastermind, mental illness, anarchy, character study, clown makeup, subway train, social realism, supervillain, tv host, 1980s, mother son relationship, origin story, falling into madness","Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy, Brett Cullen, Shea Whigham, Bill Camp, Glenn Fleshler, Leigh Gill, Josh Pais",Todd Phillips,119
120,7.913882894803304,The Lord of the Rings: The Fellowship of the Ring,"Adventure, Fantasy, Action",/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg,2001,"based on novel or book, orcs, elves, dwarf, magic, loss of loved one, river, fireworks, mine, maze, mountain, castle, volcano, birthday party, addiction, uncle, fugitive, battle, death, blizzard, wizard, journey, ring, live action and animation, sword and sorcery","Elijah Wood, Ian McKellen, Sean Astin, Viggo Mortensen, Christopher Lee, Liv Tyler, Sean Bean, Ian Holm, John Rhys-Davies, Orlando Bloom",Peter Jackson,119
122,7.910444278741428,The Lord of the Rings: The Return of the King,"Adventure, Fantasy, Action",/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,2003,"based on novel or book, orcs, elves, dwarf, bravery, suspicion, volcano, addiction, honor, royalty, troll, brutality, ghost, wizard, quest, live action and animation, sword and sorcery","Elijah Wood, Sean Astin, Ian McKellen, Viggo Mortensen, Andy Serkis, Billy Boyd, Dominic Monaghan, Miranda Otto, David Wenham, John Noble",Peter Jackson,119
11324,7.910173011937447,Shutter Island,"Drama, Thriller, Mystery",/4GDy0PHYX3VRXUtwK5ysFbg3kEx.jpg,2010,"island, based on novel or book, hurricane, investigation, u.s. marshal, conspiracy theory, psychiatric hospital, psychological thriller, whodunit, neo-noir, 1950s","Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow, Michelle Williams, Emily Mortimer, Patricia Clarkson, Jackie Earle Haley, Ted Levine, John Carroll Lynch",Martin Scorsese,"8, 381, 1796, 531, 1853"
106646,7.9099267029636415,The Wolf of Wall Street,"Crime, Drama, Comedy",/34m2tygAYBGqA9MXKhRDtzYd4MR.jpg,2013,"corruption, drug addiction, anti hero, con man, fraud, wall street, based on true story, rise and fall, con artist, money, stockbroker, wealthy, drugs, stripping, hedonism, decadence, corrupt, 1980s, sharemarket fraud, financial market, black monday","Leonardo DiCaprio, Jonah Hill, Margot Robbie, Kyle Chandler, Matthew McConaughey, Rob Reiner, Jon Bernthal, Jon Favreau, Jean Dujardin, Joanna Lumley",Martin Scorsese,
16869,7.903681545189152,Inglourious Basterds,"Drama, Thriller, War",/7sfbEnaARXDDhKm0CZ7D7uc2sbo.jpg,2009,"guerrilla warfare, swastika, paris, france, nazi, self sacrifice, sadism, dynamite, mexican standoff, world war ii, jew persecution, masochism, anti-semitism, german occupation of france, british politics, adolf hitler","Brad Pitt, Mélanie Laurent, Christoph Waltz, Eli Roth, Michael Fassbender, Diane Kruger, Daniel Brühl, Til Schweiger, Gedeon Burkhard, Jacky Ido",Quentin Tarantino,"531, 1853"
121,7.901527117730625,The Lord of the Rings: The Two Towers,"Adventure, Fantasy, Action",/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg,2002,"mission, army, based on novel or book, funeral, orcs, elves, dwarf, explosive, fort, cave, siege, addiction, attack, dragon, guide, death, split personality, wizard, ring, live action and animation, sword and sorcery","Elijah Wood, Sean Astin, Andy Serkis, Viggo Mortensen, Ian McKellen, Bernard Hill, John Rhys-Davies, Orlando Bloom, Dominic Monaghan, Billy Boyd",Peter Jackson,119
673,7.900471379003082,Harry Potter and the Prisoner of Azkaban,"Adventure, Fantasy",/aWxwnYoe8p2d2fcxOqtvAtJ72Rw.jpg,2004,"witch, school friend, friendship, flying, magic, bus, traitor, child hero, school of witchcraft, black magic, time travel, school, best friend, werewolf, muggle, wizard, aftercreditsstinger, magical creature, night bus, teenage life, christmas, school class, based on young adult novel, magic spell","Daniel Radcliffe, Rupert Grint, Emma Watson, Robbie Coltrane, Michael Gambon, Gary Oldman, David Thewlis, Timothy Spall, Alan Rickman, Tom Felton",Alfonso Cuarón,
807,7.897538869127747,Se7en,"Crime, Mystery, Thriller",/6yoghtyTpznpBik8EngEmJskVUO.jpg,1995,"drug dealer, rage and hate, police, s.w.a.t., sadism, self-fulfilling prophecy, psychopath, detective, rain, investigation, pension, evisceration, pride and vanity, immoderateness, insomnia, murder, serial killer, religion, seven deadly sins, depravity, neo-noir","Morgan Freeman, Brad Pitt, Gwyneth Paltrow, John Cassini, Peter Crombie, Reg E. Cathey, R. Lee Ermey, Kevin Spacey, Daniel Zacapa, Andrew Kevin Walker",David Fincher,
