tmdb_id,score_imdb,title,genres,vote_average,vote_count,poster_path,year,title_fr,keywords,cast,director,watch_providers
9444,6.849067702235802,Anastasia (1997),"Animation, Family, Fantasy, Adventure",7.618,5131,/3qbAX0cltrlbCXpgMmuv0LLrfp8.jpg,1997,Anastasia (1997),"nightmare, czar / tsar / tzar, musical, sorcerer, russian revolution (1917), train explosion, 1920s, villain song","Meg Ryan, John Cusack, Kelsey Grammer, Christopher Lloyd, Hank Azaria, Bernadette Peters, Kirsten Dunst, Angela Lansbury, Rick Jones, Andrea Martin",Don Bluth,337
661374,6.848759047230148,Glass Onion: A Knives Out Mystery (2022),"Comedy, Crime, Mystery",7.047,5119,/vDGr1YdrlfbU9wxTOdpf3zChmv9.jpg,2022,Glass Onion : Une histoire à couteaux tirés (2022),"detective, greece, investigation, mona lisa (la gioconda), satire, sequel, murder, billionaire, whodunit, puzzle box, clue, identical twin, murder mystery, arrested development, covid-19","Daniel Craig, Edward Norton, Janelle Monáe, Kathryn Hahn, Leslie Odom Jr., Kate Hudson, Dave Bautista, Jessica Henwick, Madelyn Cline, Noah Segan",Rian Johnson,"8, 1796"
369972,6.847877629267487,First Man (2018),"History, Drama",7.045,5085,/i91mfvFcPPlaegcbOyjGgiWfZzh.jpg,2018,First Man - Le Premier Homme sur la Lune (2018),"moon, based on novel or book, sacrifice, nasa, wife, obsession, space travel, space mission, biography, engineer, based on true story, moon landing, space, cancer, astronaut, historical event, death of daughter, compromise, test pilot, 1960s, apollo program","Ryan Gosling, Claire Foy, Jason Clarke, Kyle Chandler, Corey Stoll, Patrick Fugit, Christopher Abbott, Ciarán Hinds, Olivia Hamilton, Pablo Schreiber",Damien Chazelle,119
21208,6.847721017355269,Orphan (2009),"Horror, Thriller, Mystery",7.0,5079,/lCGpOgoTOGLtZnBiGY9HRg5Xnjd.jpg,2009,Esther (2009),"nun, deaf-mute, orphan, troubled marriage, aftercreditsstinger, duringcreditsstinger","Vera Farmiga, Peter Sarsgaard, Isabelle Fuhrman, CCH Pounder, Aryana Engineer, Jimmy Bennett, Margo Martindale, Karel Roden, Rosemary Dunsmore, Jamie Young",Jaume Collet-Serra,381
10340,6.847694884013474,Lady and the Tramp (1955),"Family, Animation, Romance",7.117,5078,/340NcWz9SQXWQyf4oicMxjbrLOb.jpg,1955,La Belle et le Clochard (1955),"love of one's life, spaghetti, lover (female), kiss, cartoon cat, cartoon dog, pets","Barbara Luddy, Larry Roberts, Peggy Lee, Bill Thompson, Bill Baucom, Stan Freberg, Verna Felton, Alan Reed, George Givot, Dal McKennon",Clyde Geronimi,337
44264,6.8474854939244745,True Grit (2010),"Drama, Adventure, Western",7.304,5070,/tCrB8pcjadZjsDk7rleGJaIv78k.jpg,2010,True Grit (2010),"bounty hunter, based on novel or book, father murder, loss of loved one, texas ranger, arkansas, alcoholism, betrayal, eye patch","Hailee Steinfeld, Jeff Bridges, Matt Damon, Josh Brolin, Barry Pepper, Dakin Matthews, Jarlath Conroy, Paul Rae, Domhnall Gleeson, Elizabeth Marvel",Joel Coen,"381, 531, 582, 1853"
754,6.847354332498541,Face/Off (1997),"Action, Crime, Science Fiction",7.03,5065,/69Xzn8UdPbVnmqSChKz2RTpoNfB.jpg,1997,Volte/Face (1997),"prison, biological weapon, prisoner, bomb, undercover, psychopath, fbi, mexican standoff, face transplant, prison escape, flashback, revenge, tragedy, organized crime, shootout, boat chase, los angeles, california, doctor, disguise, vendetta, surgery, criminal gang, golden gun, archvillain, bullet ballet, archenemy, brother brother relationship, siblings, maximum security prison, fbi agent","John Travolta, Nicolas Cage, Joan Allen, Alessandro Nivola, Gina Gershon, Dominique Swain, Nick Cassavetes, Harve Presnell, Colm Feore, John Carroll Lynch",John Woo,337
637649,6.845762615423446,Wrath of Man (2021),"Action, Crime, Thriller",7.644,5005,/M7SUK85sKjaStg4TKhlAVyGlz3.jpg,2021,Un Homme en colère (2021),"robbery, crime boss, revenge, shootout, shooter, los angeles, california, theft, security guard, ex soldier, cash truck","Jason Statham, Holt McCallany, Josh Hartnett, Scott Eastwood, Darrell D'Silva, Babs Olusanmokun, Jeffrey Donovan, Eddie Marsan, Andy García, Niamh Algar",Guy Ritchie,
85350,6.845467192956035,Boyhood (2014),Drama,7.505,4994,/2BvtvDUyxiMJ4dmKfiQf4qdOHQN.jpg,2014,Boyhood (2014),"high school, family's daily life, college, urban life, coming of age, growing up, domestic abuse, parenting, divorce, family, nostalgic, divorced parents, abusive husband, teenager","Ellar Coltrane, Patricia Arquette, Ethan Hawke, Lorelei Linklater, Libby Villari, Marco Perella, Brad Hawkins, Jamie Howard, Andrew Villarreal, Jenni Tooley",Richard Linklater,"381, 1732"
395834,6.845170636627096,Wind River (2017),"Crime, Drama, Mystery, Thriller",7.434,4983,/pySivdR845Hom4u4T2WNkJxe6Ad.jpg,2017,Wind River (2017),"wyoming, usa, rape, gun, fbi, mountain, investigation, native american, forest, murder, shootout, photograph, native american reservation, binoculars, rape and revenge, snowmobile, missing and murdered indigenous women","Jeremy Renner, Elizabeth Olsen, Gil Birmingham, Graham Greene, Jon Bernthal, Kelsey Asbille, Teo Briones, Tantoo Cardinal, Matthew Del Negro, Hugh Dillon",Taylor Sheridan,119
